name,lng,lat,helicopters,model
산림항공본부,127.7988525,37.4116856,5,"S-64, KA-32"
익산산림항공관리소,127.1025359,35.9546178,3,"S-64, KA-32"
양산산림항공관리소,129.0933083,35.4970702,5,"KA-32, BELL206"
영암산림항공관리소,126.7016303,34.8289505,4,"KA-32, AS-350"
안동산림항공관리소,128.7282485,36.5385681,4,"S-64, KA-32"
강릉산림항공관리소,128.9505822,37.7627113,4,"S-64, KA-32"
진천산림항공관리소,127.4530334,36.7931439,4,"S-64, KA-32"
함양산림항공관리소,127.797917,35.4837545,5,"KA-32, AS-350"
청양산림항공관리소,126.7878512,36.3850711,6,"KA-32, BELL206"
서울산림항공관리소,126.7878021,37.5538537,3,"KA-32, KUH-1FS"
울진산림항공관리소,129.4540092,36.7861451,3,"S-64, KA-32"
제주산림항공관리소,126.5947062,33.4313074,1,KA-32
비무장산림항공관리소,127.3782212,38.2205919,1,KA-32
